Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
2022-2023,Bo Horvat,"NYI, VAN",C,79,1152.583333,19,19,13,6,38,71.7,141,13.48,15.23,219,185,144,82,4,9,18,9,9,0,0,16,31,31,55,55,42,595,484,55.14,1133,1098,50.78,843,820,50.69,602,590,50.5,53,55,49.07,51.81,54.2,48.88,556,547,50.41,236,235,50.11,29,27,51.79,320,312,50.63,17,19,47.22,504,481,51.17,7,9,43.75,8.8,90.68,0.995,188,255,172,902,52.22,369,361,376,49.53
2022-2023,Rasmus Ristolainen,PHI,D,74,1150.566667,1,10,4,6,11,25.58,69,1.45,2.42,140,96,24,4,4,10,30,15,15,0,0,6,38,19,139,148,86,0,0,-,949,1132,45.6,732,787,48.19,537,554,49.22,43,50,46.24,42.91,45.86,48.34,456,532,46.15,194,188,50.79,23,28,45.1,262,344,43.23,13,19,40.63,421,520,44.74,7,3,70.0,8.01,90.97,0.99,114,235,196,1034,36.77,287,351,386,42.64
2022-2023,Aaron Ekblad,FLA,D,71,1149.716667,4,11,8,3,15,28.85,132,3.03,6.4,235,175,78,19,3,24,48,23,23,0,0,14,39,24,53,46,46,0,0,-,1260,1047,54.62,937,833,52.94,690,598,53.57,52,59,46.85,60.8,56.39,51.88,638,549,53.75,292,266,52.33,27,26,50.94,346,283,55.01,17,22,43.59,568,430,56.91,8,11,42.11,7.54,90.13,0.977,179,310,185,801,49.18,405,433,394,50.69
2022-2023,Carter Verhaeghe,FLA,C,81,1148.183333,28,24,11,13,52,76.47,202,13.86,21.23,337,257,211,94,7,34,42,21,21,0,0,24,44,35,28,100,15,20,18,52.63,1385,1073,56.35,1018,845,54.64,755,615,55.11,68,42,61.82,71.6,55.41,56.37,733,576,56.0,320,263,54.89,34,20,62.96,413,313,56.89,23,15,60.53,587,438,57.27,11,7,61.11,9.01,93.17,1.022,213,287,162,784,56.8,394,360,367,51.77
2022-2023,Auston Matthews,TOR,C,74,1145.783333,26,26,19,7,52,69.33,233,11.16,25.65,399,320,284,124,8,38,14,7,7,0,0,28,41,61,71,86,79,517,465,52.65,1231,1071,53.48,943,775,54.89,655,548,54.45,75,37,66.96,67.69,49.89,57.57,734,557,56.86,321,236,57.63,36,23,61.02,413,321,56.27,31,11,73.81,458,446,50.66,8,3,72.73,11.45,93.25,1.047,230,251,82,827,73.72,463,365,246,65.3
2022-2023,Erik Gustafsson,"TOR, WSH",D,70,1143.9,7,17,9,8,24,44.44,102,6.86,5.04,220,157,70,18,5,13,21,9,8,1,0,9,40,20,48,111,55,0,0,-,1238,1055,53.99,892,789,53.06,645,551,53.93,54,41,56.84,57.41,50.72,53.09,643,544,54.17,266,225,54.18,31,20,60.78,377,319,54.17,15,13,53.57,508,430,54.16,8,8,50.0,8.37,92.56,1.009,213,216,95,835,69.16,464,339,243,65.63
2022-2023,Mitchell Marner,TOR,R,80,1143.883333,15,38,28,10,53,82.81,116,12.93,9.39,248,163,126,38,6,20,22,11,11,0,0,18,65,77,48,100,26,0,3,0,1137,995,53.33,843,747,53.02,605,534,53.12,64,39,62.14,56.75,46.01,55.22,675,499,57.5,274,215,56.03,32,17,65.31,401,284,58.54,26,17,60.47,415,424,49.46,6,5,54.55,10.58,92.7,1.033,241,259,134,785,64.27,430,355,297,59.15
2022-2023,Drake Batherson,OTT,R,82,1142.766667,7,22,15,7,29,67.44,169,4.14,16.88,303,246,173,69,17,21,29,13,12,1,0,17,27,34,108,86,26,11,21,34.38,1176,1112,51.4,895,805,52.65,649,587,52.51,43,64,40.19,53.67,52.67,50.47,581,583,49.91,235,237,49.79,19,35,35.19,346,346,50.0,17,25,40.48,516,457,53.03,7,4,63.64,6.63,89.1,0.957,234,232,104,964,69.23,421,340,303,58.15
2022-2023,Claude Giroux,OTT,R,82,1138.733333,23,19,14,5,42,73.68,149,15.44,15.0,241,205,149,77,15,10,28,14,14,0,0,19,26,40,66,47,23,410,274,59.94,1328,1031,56.3,986,784,55.71,692,562,55.18,57,55,50.89,64.14,50.0,56.19,673,531,55.9,287,231,55.41,36,33,52.17,386,300,56.27,17,12,58.62,540,414,56.6,3,10,23.08,8.24,90.21,0.985,268,273,196,853,57.76,493,382,396,55.46
2022-2023,Alex DeBrincat,OTT,R,82,1138.0,12,18,14,4,30,71.43,167,7.19,15.9,296,225,177,70,6,27,39,10,7,1,2,20,25,37,101,70,32,8,8,50,1139,1121,50.4,851,822,50.87,618,609,50.37,42,58,42.0,52.76,53.47,49.67,582,582,50.0,239,245,49.38,24,32,42.86,343,337,50.44,15,21,41.67,473,449,51.3,2,5,28.57,6.8,90.48,0.973,233,211,137,918,62.97,415,308,328,55.85
2022-2023,Martin Necas,CAR,C,82,1136.983333,13,22,19,3,35,58.33,167,7.78,15.21,293,235,174,66,10,21,28,14,14,0,0,22,45,40,54,97,17,146,176,45.34,1284,920,58.26,957,724,56.93,664,526,55.8,60,52,53.57,57.24,45.82,55.54,614,452,57.6,258,213,54.78,36,21,63.16,356,239,59.83,17,22,43.59,598,383,60.96,7,9,43.75,9.04,90.11,0.992,206,209,94,874,68.67,438,331,279,61.09
2022-2023,Ryan Strome,ANA,C,82,1132.383333,10,22,10,12,32,68.09,98,10.2,10.48,155,126,88,49,7,18,66,26,23,2,1,10,45,22,27,46,21,320,428,42.78,992,1334,42.65,757,1052,41.85,546,769,41.52,47,72,39.5,45.61,73.57,38.27,496,726,40.59,189,359,34.49,20,49,28.99,307,367,45.55,21,17,55.26,430,546,44.06,6,6,50.0,8.61,90.64,0.992,230,244,180,791,56.1,397,360,349,53.22
2022-2023,Kevin Hayes,PHI,C,81,1131.066667,10,22,19,3,32,71.11,168,5.95,14.22,291,233,132,59,7,26,21,9,8,1,0,12,30,34,48,44,20,262,277,48.61,1125,1131,49.87,851,829,50.65,606,604,50.08,45,51,46.88,52.12,53.23,49.47,517,600,46.28,230,253,47.62,26,29,47.27,287,347,45.27,13,18,41.94,514,465,52.5,6,4,60.0,7.43,91.56,0.99,216,206,153,885,58.54,380,314,327,53.75
2022-2023,Brandon Carlo,BOS,D,75,1130.25,2,11,6,5,13,22.03,81,2.47,3.78,152,111,56,12,4,9,34,14,12,2,0,6,17,20,114,150,79,0,0,-,1005,989,50.4,774,719,51.84,585,507,53.57,59,27,68.6,49.38,42.44,53.78,560,469,54.42,221,190,53.77,28,15,65.12,339,279,54.85,24,7,77.42,398,466,46.06,7,5,58.33,10.09,94.67,1.048,97,254,213,951,31.29,219,346,397,35.55
2022-2023,Yanni Gourde,SEA,C,81,1129.733333,7,30,16,14,37,62.71,118,5.93,11.84,205,167,116,64,7,18,65,23,19,3,1,27,26,52,108,97,39,408,424,49.04,1164,957,54.88,862,692,55.47,590,467,55.82,59,42,58.42,49.95,44.26,53.02,538,491,52.28,217,201,51.91,32,26,55.17,321,290,52.54,17,12,58.62,524,402,56.59,10,4,71.43,10.0,91.01,1.01,173,270,123,794,58.45,319,358,296,51.87
2022-2023,Brock Nelson,NYI,C,82,1128.833333,24,24,14,10,48,67.61,143,16.78,16.15,260,190,185,93,13,35,22,11,11,0,0,18,30,40,46,64,33,422,469,47.36,1171,1171,50.0,843,892,48.59,609,630,49.15,71,45,61.21,55.44,57.16,49.24,647,586,52.47,277,255,52.07,35,26,57.38,370,331,52.78,26,13,66.67,452,513,46.84,10,6,62.5,11.66,92.86,1.045,235,213,121,942,66.01,387,307,300,56.33
2022-2023,Chandler Stephenson,VGK,C,81,1128.716667,7,37,22,15,44,74.58,77,9.09,9.31,131,103,86,46,8,14,20,6,5,0,1,16,21,51,62,108,39,468,341,57.85,1096,1198,47.78,792,819,49.16,594,581,50.55,59,44,57.28,51.02,47.27,51.91,531,571,48.19,235,200,54.02,36,20,64.29,296,371,44.38,16,19,45.71,489,562,46.53,7,5,58.33,9.93,92.43,1.024,238,168,202,778,54.09,436,273,406,51.78
2022-2023,John Klingberg,"ANA, MIN",D,67,1127.533333,6,13,10,3,19,43.18,64,9.38,3.38,164,100,56,9,8,11,28,14,14,0,0,5,38,16,54,114,69,0,0,-,967,1274,43.15,734,982,42.77,519,768,40.33,44,63,41.12,46.1,70.23,39.63,510,705,41.98,213,333,39.01,21,42,33.33,297,372,44.39,17,14,54.84,389,512,43.17,6,7,46.15,8.48,91.8,1.003,151,208,142,792,51.54,371,323,341,52.11
2022-2023,William Nylander,TOR,R,82,1124.75,22,27,13,14,49,76.56,204,10.78,19.94,357,277,223,96,18,23,22,11,11,0,0,17,29,64,17,84,22,20,21,48.78,1210,1093,52.54,933,794,54.02,663,553,54.52,64,43,59.81,65.77,51.93,55.88,719,559,56.26,322,227,58.65,35,25,58.33,397,332,54.46,20,13,60.61,447,484,48.01,9,5,64.29,9.65,92.22,1.019,220,230,101,879,68.54,459,331,257,64.11
2022-2023,Evgeni Malkin,PIT,C,82,1123.8,15,29,20,9,44,83.02,154,9.74,15.54,241,193,155,73,12,24,72,28,26,0,2,22,72,75,45,89,22,394,408,49.13,1239,1035,54.49,942,775,54.86,692,586,54.15,53,50,51.46,65.45,50.68,56.36,636,529,54.59,290,225,56.31,32,28,53.33,346,304,53.23,14,12,53.85,529,442,54.48,7,10,41.18,7.66,91.47,0.991,203,171,68,994,74.91,415,282,207,66.72
2022-2023,Max Domi,"CHI, DAL",C,80,1123.283333,7,24,17,7,31,67.39,106,6.6,9.97,195,150,119,48,5,19,76,23,18,2,3,15,41,54,20,31,22,439,379,53.67,947,1173,44.67,729,892,44.97,534,655,44.91,46,52,46.94,45.02,58.99,43.28,490,615,44.34,206,254,44.78,21,31,40.38,284,361,44.03,18,12,60.0,403,492,45.03,7,9,43.75,8.61,92.06,1.007,191,247,122,794,61.02,374,383,329,53.2
2022-2023,Ivan Barbashev,"STL, VGK",C,82,1122.683333,12,24,12,12,36,67.92,95,12.63,11.63,171,133,131,64,6,12,38,15,13,2,0,22,37,43,178,107,34,50,74,40.32,1011,1201,45.71,768,898,46.1,564,638,46.92,53,48,52.48,48.06,57.02,45.74,543,630,46.29,215,245,46.74,28,27,50.91,328,385,46.0,21,12,63.64,394,509,43.63,4,9,30.77,9.4,92.48,1.019,143,240,130,835,52.38,288,342,286,50.17
2022-2023,Marc-Edouard Vlasic,S.J,D,78,1121.733333,1,15,3,12,16,35.56,60,1.67,3.63,165,106,48,11,5,14,16,4,3,0,1,5,34,28,38,73,23,0,0,-,1006,1106,47.63,743,818,47.6,516,568,47.6,45,61,42.45,51.28,48.76,51.25,546,545,50.05,250,209,54.47,29,34,46.03,296,336,46.84,11,21,34.38,483,642,42.93,5,6,45.45,8.72,89.26,0.98,64,281,176,962,26.67,234,406,420,35.78
2022-2023,Matthew Tkachuk,FLA,L,79,1120.933333,22,36,22,14,58,65.17,194,11.34,20.64,334,251,211,99,8,33,64,25,22,2,1,36,43,33,64,49,22,9,8,52.94,1502,943,61.43,1135,748,60.28,836,542,60.67,89,50,64.03,79.58,49.96,61.43,828,510,61.88,376,238,61.24,52,25,67.53,452,272,62.43,23,15,60.53,601,379,61.33,14,10,58.33,10.65,90.77,1.014,223,249,150,794,59.79,436,344,323,57.44
2022-2023,Troy Stecher,"ARI, CGY",D,81,1120.1,3,11,7,4,14,42.42,81,3.7,3.36,173,106,54,11,0,10,36,15,13,2,0,10,33,16,59,101,56,0,0,-,946,1126,45.66,693,858,44.68,500,630,44.25,33,45,42.31,42.37,53.89,44.02,458,603,43.17,189,248,43.25,19,29,39.58,269,355,43.11,9,13,40.91,416,450,48.04,5,3,62.5,6.6,92.86,0.995,114,215,139,1033,45.06,253,299,309,45.02
2022-2023,David Savard,MTL,D,62,1119.033333,3,14,5,9,17,45.95,58,5.17,2.46,112,76,37,9,2,6,36,10,8,0,2,6,49,11,49,71,108,0,0,-,891,1230,42.01,670,870,43.51,482,617,43.86,37,55,40.22,42.34,57.68,42.33,458,642,41.64,190,253,42.89,18,35,33.96,268,389,40.79,11,15,42.31,376,537,41.18,8,5,61.54,7.68,91.09,0.988,88,230,146,720,37.61,249,350,380,39.59
2022-2023,Jordan Kyrou,STL,C,79,1118.7,22,20,12,8,42,75.0,200,11.0,15.96,337,261,188,56,17,10,16,8,8,0,0,11,48,50,12,78,25,4,9,30.77,989,1110,47.12,742,844,46.78,549,601,47.74,56,72,43.75,43.57,57.83,42.97,513,630,44.88,179,257,41.06,27,43,38.57,334,373,47.24,24,23,51.06,411,430,48.87,5,6,45.45,10.2,88.02,0.982,183,224,142,850,56.31,381,315,283,57.38
2022-2023,Steven Stamkos,T.B,C,81,1113.25,16,25,16,9,41,65.08,132,12.12,15.05,229,179,168,69,6,24,38,19,19,0,0,15,36,21,85,74,9,333,271,55.13,1069,1092,49.47,797,810,49.6,567,591,48.96,63,52,54.78,51.34,51.04,50.15,569,573,49.82,232,217,51.67,35,24,59.32,337,356,48.63,16,17,48.48,599,584,50.63,11,11,50.0,11.11,91.2,1.023,240,192,198,726,54.79,409,285,368,52.64
2022-2023,Michael Bunting,TOR,L,82,1112.833333,14,22,16,6,36,55.38,138,10.14,19.76,243,205,176,98,5,30,99,40,37,1,2,41,37,47,83,90,17,1,1,50,1183,1105,51.7,899,808,52.67,633,566,52.79,65,36,64.36,64.96,51.55,55.75,680,574,54.23,298,245,54.88,34,20,62.96,382,329,53.73,25,13,65.79,467,472,49.73,6,3,66.67,10.27,93.64,1.039,219,239,95,846,69.75,411,331,248,62.37
2022-2023,Brandon Hagel,T.B,L,81,1112.216667,17,21,10,11,38,64.41,131,12.98,15.97,231,180,174,84,13,12,46,19,18,0,1,22,40,67,54,155,6,20,52,27.78,1175,1012,53.73,876,768,53.28,640,581,52.42,59,45,56.73,57.5,49.71,53.64,667,538,55.35,271,230,54.09,37,22,62.71,396,308,56.25,15,16,48.39,581,500,53.75,7,7,50.0,9.22,92.25,1.015,197,282,118,738,62.54,339,386,222,60.43
2022-2023,Joe Pavelski,DAL,C,82,1111.45,12,28,17,11,40,56.34,111,10.81,13.85,211,157,148,84,4,26,4,2,2,0,0,23,46,29,90,55,45,287,255,52.95,1169,988,54.2,845,720,53.99,608,504,54.68,71,35,66.98,58.71,43.38,57.51,642,459,58.31,278,188,59.66,40,20,66.67,364,271,57.32,22,11,66.67,459,441,51.0,9,4,69.23,11.68,93.06,1.047,199,254,119,869,62.58,382,397,316,54.73
2022-2023,Kaapo Kakko,NYR,R,82,1111.15,15,17,11,6,32,61.54,109,13.76,12.93,199,154,130,62,3,17,8,4,4,0,0,13,26,40,25,85,19,1,2,33.33,1074,978,52.34,794,729,52.13,590,528,52.77,52,42,55.32,49.66,46.95,51.4,569,518,52.35,218,218,50.0,27,21,56.25,351,300,53.92,13,15,46.43,454,396,53.41,12,6,66.67,8.81,92.05,1.009,122,207,104,795,53.98,306,324,265,53.59
2022-2023,Jesper Bratt,N.J,L,82,1110.916667,20,23,14,9,43,68.25,159,12.58,16.47,290,235,183,79,10,36,4,2,2,0,0,8,37,35,22,52,4,0,0,-,1331,947,58.43,998,699,58.81,693,489,58.63,63,48,56.76,63.84,45.7,58.28,710,487,59.31,275,196,58.39,23,29,44.23,435,291,59.92,23,15,60.53,724,507,58.81,17,4,80.95,9.09,90.18,0.993,214,270,151,890,58.63,416,363,289,59.01
2022-2023,Travis Hamonic,OTT,D,75,1110.866667,5,11,5,6,16,33.33,127,3.94,4.32,258,168,58,10,9,22,61,25,23,1,1,13,53,16,97,108,97,0,0,-,1173,1146,50.58,878,853,50.72,638,625,50.51,48,61,44.04,52.93,53.83,49.58,578,581,49.87,239,216,52.53,24,32,42.86,339,365,48.15,17,18,48.57,498,479,50.97,7,11,38.89,7.52,90.24,0.978,116,241,147,987,44.11,343,359,381,47.38
2022-2023,J.T. Miller,VAN,C,81,1108.75,11,20,14,6,31,77.5,117,9.4,11.0,209,158,125,52,4,17,48,18,14,4,0,21,29,46,188,61,30,311,253,55.14,1061,1024,50.89,786,784,50.06,577,570,50.31,40,54,42.55,45.41,52.03,46.6,523,527,49.81,199,225,46.93,20,30,40.0,324,302,51.76,10,18,35.71,490,435,52.97,10,6,62.5,6.93,90.53,0.975,175,254,162,906,51.93,363,344,359,50.28
2022-2023,Carson Soucy,SEA,D,78,1105.9,3,12,4,8,15,28.85,82,3.66,3.66,188,125,50,7,2,19,66,26,23,2,1,10,29,24,123,100,76,0,0,-,1020,953,51.7,749,695,51.87,533,459,53.73,52,37,58.43,45.89,43.56,51.3,483,474,50.47,183,198,48.03,22,20,52.38,300,276,52.08,23,13,63.89,450,405,52.63,6,4,60.0,9.76,91.94,1.017,153,249,108,1042,58.62,323,361,266,54.84
2022-2023,Jordan Eberle,SEA,R,82,1105.75,16,28,21,7,44,66.67,149,10.74,13.82,256,204,162,57,9,16,32,15,15,0,0,9,28,52,37,61,19,26,33,44.07,1076,984,52.23,806,742,52.07,563,489,53.52,66,50,56.9,50.37,45.6,52.49,534,486,52.35,206,210,49.52,33,28,54.1,328,276,54.3,27,17,61.36,471,437,51.87,5,5,50.0,11.72,89.78,1.015,214,241,127,845,62.76,362,323,271,57.19
2022-2023,Brady Tkachuk,OTT,L,82,1105.716667,20,25,15,10,45,75.0,228,8.77,24.45,376,319,226,124,19,30,101,31,23,5,3,31,38,30,227,81,6,191,211,47.51,1310,1017,56.3,973,773,55.73,672,559,54.59,60,61,49.59,65.64,50.27,56.63,683,527,56.45,298,222,57.31,36,36,50.0,385,305,55.8,16,17,48.48,528,420,55.7,8,8,50.0,8.93,89.09,0.98,298,312,162,862,64.78,495,417,333,59.78
2022-2023,Adam Pelech,NYI,D,61,1105.283333,5,11,6,5,16,34.78,88,5.68,4.19,216,141,63,10,2,16,32,16,16,0,0,7,32,25,73,92,70,0,0,-,1081,1015,51.57,774,743,51.02,553,509,52.07,46,40,53.49,51.54,47.22,52.19,556,510,52.16,237,214,52.55,25,23,52.08,319,296,51.87,16,11,59.26,433,434,49.94,5,6,45.45,8.32,92.14,1.005,124,275,218,870,36.26,296,390,428,40.88
2022-2023,Sean Durzi,L.A,D,72,1105.066667,8,12,5,7,20,43.48,85,9.41,3.85,195,119,64,12,5,7,40,17,15,2,0,9,45,20,59,111,23,0,0,-,1086,1021,51.54,795,716,52.61,574,495,53.7,46,50,47.92,46.84,45.11,50.94,536,537,49.95,209,208,50.12,24,26,48.0,327,329,49.85,16,13,55.17,613,511,54.54,6,11,35.29,8.01,89.9,0.979,118,205,134,767,46.83,305,331,299,50.5
2022-2023,Phillip Danault,L.A,C,82,1104.183333,13,15,9,6,28,71.79,117,11.11,12.22,192,156,129,60,1,9,43,19,18,1,0,22,23,16,76,86,10,496,402,55.23,1125,999,52.97,840,695,54.72,608,499,54.92,39,45,46.43,49.85,43.19,53.58,549,490,52.84,210,189,52.63,17,20,45.95,339,301,52.97,16,16,50.0,631,547,53.57,6,9,40.0,6.41,90.98,0.974,157,263,176,812,47.15,296,343,334,46.98
2022-2023,Blake Coleman,CGY,C,82,1104.083333,12,20,12,8,32,72.73,165,7.27,19.34,294,230,198,103,4,28,50,23,23,0,0,20,29,29,101,76,29,19,21,47.5,1280,855,59.95,960,651,59.59,693,455,60.37,44,40,52.38,60.28,42.36,58.73,638,455,58.37,273,189,59.09,29,22,56.86,365,266,57.84,12,10,54.55,553,330,62.63,3,8,27.27,6.35,91.21,0.976,177,251,146,896,54.8,403,377,327,55.21
2022-2023,Anthony Beauvillier,"NYI, VAN",L,82,1102.3,12,17,10,7,29,59.18,132,9.09,12.69,213,176,159,71,9,18,18,8,8,0,0,10,28,32,75,108,28,2,8,20,1030,1086,48.68,755,817,48.03,537,576,48.25,49,56,46.67,48.25,52.2,48.03,550,563,49.42,235,246,48.86,25,32,43.86,315,317,49.84,16,15,51.61,413,455,47.58,8,9,47.06,9.12,90.28,0.994,208,197,127,891,62.09,341,282,268,55.99
2022-2023,Elias Pettersson,VAN,C,80,1100.6,21,35,20,15,56,86.15,145,14.48,16.25,252,202,154,70,4,22,10,5,5,0,0,34,33,41,55,71,67,395,497,44.28,977,962,50.39,736,715,50.72,537,513,51.14,65,53,55.08,50.51,43.48,53.74,515,505,50.49,221,211,51.16,41,30,57.75,294,294,50.0,16,11,59.26,407,401,50.37,8,12,40.0,12.1,89.67,1.018,184,230,126,906,59.35,337,323,296,53.24
2022-2023,Anders Lee,NYI,L,82,1100.233333,20,11,7,4,31,57.41,168,11.9,23.05,262,233,201,125,6,30,38,16,14,2,0,20,29,23,120,91,43,24,21,53.33,1190,1074,52.56,881,780,53.04,616,552,52.74,54,46,54.0,59.9,49.82,54.59,644,524,55.14,287,223,56.27,28,25,52.83,357,301,54.26,18,10,64.29,472,476,49.79,8,11,42.11,8.77,91.67,1.004,242,244,123,933,66.3,383,326,272,58.47
2022-2023,Adrian Kempe,L.A,"C, R",82,1100.05,22,12,8,4,34,68.0,170,12.94,13.56,299,227,163,54,9,22,41,19,18,1,0,15,27,17,105,53,5,14,33,29.79,1052,962,52.23,802,692,53.68,581,482,54.66,50,36,58.14,46.08,43.92,51.2,516,486,51.5,204,205,49.88,29,25,53.7,312,281,52.61,14,8,63.64,615,520,54.19,7,3,70.0,8.61,92.53,1.011,186,280,181,779,50.68,340,362,361,48.5
2022-2023,Patrick Kane,"CHI, NYR",R,73,1097.433333,16,17,10,7,33,67.35,148,10.81,11.67,243,193,123,42,6,9,10,5,5,0,0,8,46,28,13,29,16,0,0,-,846,1186,41.63,649,885,42.31,476,659,41.94,49,58,45.79,40.19,61.39,39.57,414,657,38.66,181,276,39.61,25,34,42.37,233,381,37.95,15,18,45.45,391,461,45.89,9,6,60.0,10.29,91.2,1.015,188,194,112,735,62.67,362,324,316,53.39
2022-2023,Jordan Harris,MTL,D,65,1096.766667,4,12,5,7,16,34.04,64,6.25,3.04,147,87,51,10,5,11,24,12,12,0,0,6,27,16,44,157,77,0,0,-,958,1072,47.19,675,787,46.17,493,591,45.48,47,48,49.47,45.58,50.36,47.51,474,547,46.43,194,225,46.3,27,31,46.55,280,322,46.51,16,11,59.26,403,451,47.19,4,6,40.0,9.53,91.88,1.014,85,176,118,828,41.87,235,288,293,44.51
2022-2023,Henri Jokiharju,BUF,D,60,1095.083333,3,10,3,7,13,24.07,74,4.05,2.39,144,97,29,2,4,11,30,15,15,0,0,4,29,14,59,92,42,0,0,-,1012,984,50.7,781,801,49.37,562,612,47.87,54,65,45.38,50.87,52.97,48.99,537,526,50.52,233,257,47.55,33,37,47.14,304,269,53.05,15,18,45.45,431,415,50.95,6,10,37.5,9.61,89.38,0.99,154,216,169,846,47.68,353,302,344,50.65
2022-2023,Joel Farabee,PHI,L,82,1094.95,15,20,9,11,35,64.81,114,13.16,10.77,210,154,117,53,3,24,39,15,12,3,0,17,33,23,65,98,32,16,21,43.24,998,1153,46.4,742,840,46.9,547,591,48.07,54,52,50.94,45.9,54.97,45.5,480,583,45.16,206,240,46.19,31,24,56.36,274,343,44.41,16,23,41.03,450,512,46.78,7,5,58.33,9.87,91.2,1.011,190,263,142,865,57.23,339,339,300,53.05
2022-2023,Noah Cates,PHI,L,82,1094.166667,8,17,9,8,25,59.52,82,9.76,11.77,146,112,106,54,2,20,10,5,5,0,0,7,9,43,74,111,39,327,486,40.22,928,1044,47.06,693,746,48.16,491,527,48.23,42,39,51.85,42.71,45.43,48.46,427,503,45.91,177,196,47.45,27,15,64.29,250,307,44.88,9,18,33.33,445,497,47.24,6,6,50.0,8.55,92.6,1.012,163,318,216,858,43.01,316,426,413,43.35
2022-2023,Mika Zibanejad,NYR,C,82,1093.9,16,24,17,7,40,78.43,123,13.01,12.65,206,174,121,60,8,14,14,7,7,0,0,19,48,37,66,63,26,500,503,49.85,995,1009,49.65,760,738,50.73,555,533,51.01,51,34,60.0,47.72,48.08,49.81,509,530,48.99,220,241,47.72,29,15,65.91,289,289,50.0,14,8,63.64,435,428,50.41,8,11,42.11,9.19,93.62,1.028,141,258,169,758,45.48,344,396,369,48.25
2022-2023,Alex Wennberg,SEA,C,82,1093.333333,7,18,11,7,25,58.14,72,9.72,8.46,121,97,85,49,5,12,16,7,7,0,0,8,21,57,39,76,44,452,493,47.83,1016,909,52.78,755,661,53.32,548,463,54.2,43,48,47.25,44.22,45.09,49.51,473,450,51.25,169,190,47.08,14,26,35.0,304,260,53.9,18,17,51.43,454,413,52.36,11,5,68.75,7.85,89.63,0.975,204,299,166,740,55.14,347,385,338,50.66
2022-2023,Ryan Nugent-Hopkins,EDM,C,82,1093.233333,16,23,11,12,39,61.9,117,13.68,14.46,199,163,142,62,6,16,31,13,12,1,0,8,20,47,41,57,16,230,275,45.54,1031,963,51.71,772,756,50.52,581,557,51.05,63,50,55.75,52.28,46.68,52.83,551,483,53.29,245,201,54.93,33,25,56.9,306,282,52.04,21,17,55.26,421,424,49.82,9,8,52.94,10.84,91.02,1.019,213,250,192,728,52.59,331,354,389,45.97
2022-2023,Charlie McAvoy,BOS,D,67,1093.233333,3,23,13,10,26,43.33,80,3.75,4.46,170,109,63,12,5,7,42,19,19,0,0,12,33,18,73,119,88,0,0,-,1140,988,53.57,855,728,54.01,633,513,55.24,60,32,65.22,57.83,45.12,56.17,625,518,54.68,280,218,56.22,35,17,67.31,345,300,53.49,14,10,58.33,483,421,53.43,11,5,68.75,9.48,93.76,1.032,223,200,190,804,54.0,450,283,344,56.68
2022-2023,Andreas Athanasiou,CHI,C,81,1090.766667,14,13,8,5,27,71.05,143,9.79,14.17,265,207,144,67,10,23,28,9,8,0,1,13,39,53,38,58,37,66,78,45.83,909,1185,43.41,695,872,44.35,497,647,43.44,38,57,40.0,41.42,55.57,42.71,426,598,41.6,186,247,42.96,23,27,46.0,240,351,40.61,13,17,43.33,413,505,44.99,2,13,13.33,7.65,91.19,0.988,151,194,120,796,55.72,324,315,315,50.7
2022-2023,Mikael Backlund,CGY,C,82,1090.5,13,23,14,9,36,66.67,186,6.99,17.53,313,248,169,70,9,25,30,14,14,0,0,8,28,50,85,61,21,545,501,52.1,1276,818,60.94,957,621,60.65,694,432,61.63,54,34,61.36,60.3,39.92,60.17,644,436,59.63,256,187,57.79,28,19,59.57,388,249,60.91,19,8,70.37,550,319,63.29,7,7,50.0,7.78,92.13,0.999,181,249,162,845,52.77,401,386,339,54.19
2022-2023,Seth Jarvis,CAR,C,82,1090.083333,13,12,6,6,25,55.56,145,8.97,18.3,245,200,163,99,12,24,6,3,3,0,0,14,26,34,68,154,36,8,13,38.1,1205,840,58.92,905,646,58.35,631,476,57.0,45,36,55.56,58.75,38.11,60.65,580,408,58.7,266,191,58.21,29,16,64.44,314,217,59.13,8,16,33.33,564,363,60.84,8,4,66.67,7.13,92.44,0.996,205,211,107,804,65.71,388,303,270,58.97
