Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
2022-2023,Cole Perfetti,WPG,C,51,662.75,5,18,8,10,23,79.31,73,6.85,7.82,128,100,87,37,7,6,16,8,8,0,0,5,14,17,32,43,21,3,7,30,651,584,52.71,475,445,51.63,322,332,49.24,29,19,60.42,29.33,28.53,50.69,348,287,54.8,138,123,52.87,14,10,58.33,210,164,56.15,10,6,62.5,252,241,51.12,5,3,62.5,9.01,94.28,1.033,155,117,68,517,69.51,237,160,148,61.56
2022-2023,Teddy Blueger,"PIT, VGK",C,63,662.4666667,3,10,8,2,13,68.42,74,4.05,8.75,113,93,71,46,1,11,20,6,5,0,1,8,15,20,67,47,35,226,190,54.33,579,646,47.27,426,467,47.7,308,332,48.13,19,32,37.25,27.93,29.27,48.83,269,320,45.67,130,134,49.24,14,19,42.42,139,186,42.77,5,9,35.71,248,292,45.93,0,4,0.0,6.17,90.36,0.965,37,158,168,528,18.05,67,206,284,19.09
2022-2023,Denis Malgin,"COL, TOR",C,65,661.3666667,13,7,5,2,20,80.0,105,12.38,9.89,185,140,120,46,2,14,8,4,4,0,0,8,23,29,67,76,17,4,6,40,674,565,54.4,497,409,54.86,372,292,56.02,25,22,53.19,30.57,25.36,54.66,345,287,54.59,128,123,51.0,12,10,54.55,217,164,56.96,7,8,46.67,306,248,55.23,6,4,60.0,6.72,92.47,0.992,98,139,90,546,52.13,173,190,180,49.01
2022-2023,Luke Glendening,DAL,C,70,661.2833333,1,2,0,2,3,30.0,53,1.89,7.14,121,94,79,42,8,11,50,14,10,2,2,15,7,8,109,81,33,254,165,60.62,559,601,48.19,382,441,46.42,263,301,46.63,10,22,31.25,22.13,27.66,44.44,247,280,46.87,109,118,48.02,5,7,41.67,138,162,46.0,2,9,18.18,263,270,49.34,3,6,33.33,3.8,92.69,0.965,61,165,123,655,33.15,131,234,249,34.47
2022-2023,William Carrier,VGK,L,56,660.3833333,16,9,8,1,25,78.13,112,14.29,12.56,163,137,112,75,7,16,30,15,15,0,0,13,8,18,132,83,17,1,7,12.5,609,619,49.59,444,431,50.74,317,302,51.21,32,19,62.75,31.51,24.42,56.34,304,296,50.67,158,102,60.77,20,8,71.43,146,194,42.94,11,6,64.71,258,281,47.87,1,4,20.0,10.09,93.71,1.038,74,230,129,522,36.45,126,302,238,34.62
2022-2023,Ondrej Palat,N.J,L,49,658.4833333,7,11,8,3,18,58.06,65,10.77,7.37,125,92,85,39,2,16,6,3,3,0,0,9,21,19,64,54,3,0,8,0,699,593,54.1,510,427,54.43,373,291,56.17,31,25,55.36,34.51,24.82,58.17,367,289,55.95,163,98,62.45,16,13,55.17,204,191,51.65,9,8,52.94,375,332,53.04,6,4,60.0,8.31,91.41,0.997,124,156,96,510,56.36,214,201,188,53.23
2022-2023,Quinton Byfield,L.A,C,53,657.1,1,18,10,8,19,51.35,60,1.67,6.88,121,99,71,38,4,10,30,15,15,0,0,10,17,16,52,85,3,46,53,46.46,599,544,52.41,456,401,53.21,315,281,52.85,37,23,61.67,26.09,24.75,51.31,300,264,53.19,129,108,54.43,23,14,62.16,171,156,52.29,7,6,53.85,341,317,51.82,7,3,70.0,11.75,91.81,1.036,111,174,113,488,49.55,184,233,217,45.89
2022-2023,Andre Burakovsky,SEA,L,49,656.25,8,14,10,4,22,73.33,79,10.13,6.41,141,106,79,23,3,11,14,7,7,0,0,9,14,29,17,64,12,0,5,0,622,611,50.45,467,456,50.6,343,322,51.58,30,30,50.0,26.98,32.41,45.43,303,327,48.1,103,146,41.37,12,17,41.38,200,181,52.49,13,9,59.09,265,253,51.16,5,4,55.56,8.75,90.68,0.994,101,150,71,509,58.72,206,202,169,54.93
2022-2023,Morgan Geekie,SEA,C,69,655.7166667,8,19,11,8,27,65.85,73,10.96,7.67,121,106,72,38,6,10,24,9,7,2,0,8,14,24,52,67,23,251,253,49.8,596,600,49.83,474,423,52.84,329,296,52.64,41,29,58.57,28.95,28.7,50.22,283,310,47.72,125,145,46.3,20,21,48.78,158,165,48.92,15,8,65.22,279,246,53.14,6,0,100.0,12.46,90.2,1.027,133,139,77,529,63.33,206,193,186,52.55
2022-2023,Brett Howden,VGK,C,54,654.4666667,5,7,4,3,12,54.55,52,9.62,7.16,105,82,73,35,4,7,55,22,20,1,1,16,6,22,103,84,26,114,99,53.52,524,711,42.43,359,475,43.05,262,326,44.56,22,18,55.0,24.27,27.95,46.48,264,346,43.28,120,121,49.79,13,11,54.17,144,225,39.02,7,6,53.85,216,325,39.93,2,1,66.67,8.4,94.48,1.029,82,187,99,493,45.3,146,242,208,41.24
