Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2022-2023,Pavel Buchnevich,STL,L,63,865.45,18,19,14,5,37,69.81,90,20,10.07,155,124,107,47,5,12,32,12,11,0,1,4,19,21,48,44,14,54,135,28.57
2022-2023,Jean-Gabriel Pageau,NYI,C,70,861.3666667,3,19,11,8,22,62.86,85,3.53,9.68,144,119,95,49,12,13,12,6,6,0,0,7,30,23,161,89,40,500,349,58.89
2022-2023,Michael McLeod,N.J,C,80,860.7833333,3,21,11,10,24,70.59,83,3.61,8.52,152,113,88,45,4,12,43,13,9,3,1,18,25,25,121,109,3,473,300,61.19
2022-2023,Mike Matheson,MTL,D,48,858.2666667,6,15,10,5,21,58.33,91,6.59,4.05,177,118,50,10,4,16,20,9,9,0,0,8,64,31,47,54,51,0,0,-
2022-2023,Jakob Chychrun,"ARI, OTT",D,48,857.1166667,4,17,5,12,21,46.67,94,4.26,4.22,193,142,56,9,4,12,20,10,10,0,0,4,37,15,49,68,60,0,0,-
2022-2023,Jakob Silfverberg,ANA,R,81,855.6,6,9,6,3,15,57.69,101,5.94,6.3,158,129,61,29,11,9,30,15,15,0,0,9,15,20,9,48,33,9,23,28.13
2022-2023,Anthony Mantha,WSH,R,67,854.4166667,10,12,8,4,22,62.86,108,9.26,10.99,180,141,117,52,5,15,31,11,8,3,0,13,28,22,66,42,17,6,7,46.15
2022-2023,Josh Brown,ARI,D,68,854.2666667,4,3,2,1,7,18.92,64,6.25,4,122,100,39,12,5,8,87,25,16,7,2,13,25,9,142,63,62,0,0,-
2022-2023,Jesse Puljujarvi,"CAR, EDM",R,75,854.1,5,10,6,4,15,53.57,116,4.31,12.18,207,162,120,52,6,9,32,13,11,2,0,8,18,24,136,110,25,0,2,0
2022-2023,Nico Sturm,S.J,C,74,852.5166667,12,12,7,5,24,64.86,100,12,9.16,161,138,87,46,5,10,23,10,9,1,0,9,16,29,94,85,12,388,302,56.23
2022-2023,Jack Quinn,BUF,R,75,852.3666667,13,17,9,8,30,65.22,96,13.54,10.95,205,145,136,52,5,22,13,5,4,1,0,19,23,25,38,80,16,10,16,38.46
